,행정구역,2019년_계_총인구수,2019년_계_0~9세,2019년_계_10~19세,2019년_계_20~29세,2019년_계_30~39세,2019년_계_40~49세,2019년_계_50~59세,2019년_계_60~69세,2019년_계_70~79세,2019년_계_80~89세,2019년_계_90~99세,2019년_계_100세 이상,2019년_남_총인구수,2019년_남_연령구간인구수,2019년_남_0~9세,2019년_남_10~19세,2019년_남_20~29세,2019년_남_30~39세,2019년_남_40~49세,2019년_남_50~59세,2019년_남_60~69세,2019년_남_70~79세,2019년_남_80~89세,2019년_남_90~99세,2019년_남_100세 이상,2019년_여_총인구수,2019년_여_연령구간인구수,2019년_여_0~9세,2019년_여_10~19세,2019년_여_20~29세,2019년_여_30~39세,2019년_여_40~49세,2019년_여_50~59세,2019년_여_60~69세,2019년_여_70~79세,2019년_여_80~89세,2019년_여_90~99세,2019년_여_100세 이상,2020년_계_총인구수,2020년_계_0~9세,2020년_계_10~19세,2020년_계_20~29세,2020년_계_30~39세,2020년_계_40~49세,2020년_계_50~59세,2020년_계_60~69세,2020년_계_70~79세,2020년_계_80~89세,2020년_계_90~99세,2020년_계_100세 이상,2020년_남_총인구수,2020년_남_연령구간인구수,2020년_남_0~9세,2020년_남_10~19세,2020년_남_20~29세,2020년_남_30~39세,2020년_남_40~49세,2020년_남_50~59세,2020년_남_60~69세,2020년_남_70~79세,2020년_남_80~89세,2020년_남_90~99세,2020년_남_100세 이상,2020년_여_총인구수,2020년_여_연령구간인구수,2020년_여_0~9세,2020년_여_10~19세,2020년_여_20~29세,2020년_여_30~39세,2020년_여_40~49세,2020년_여_50~59세,2020년_여_60~69세,2020년_여_70~79세,2020년_여_80~89세,2020년_여_90~99세,2020년_여_100세 이상,2021년_계_총인구수,2021년_계_0~9세,2021년_계_10~19세,2021년_계_20~29세,2021년_계_30~39세,2021년_계_40~49세,2021년_계_50~59세,2021년_계_60~69세,2021년_계_70~79세,2021년_계_80~89세,2021년_계_90~99세,2021년_계_100세 이상,2021년_남_총인구수,2021년_남_연령구간인구수,2021년_남_0~9세,2021년_남_10~19세,2021년_남_20~29세,2021년_남_30~39세,2021년_남_40~49세,2021년_남_50~59세,2021년_남_60~69세,2021년_남_70~79세,2021년_남_80~89세,2021년_남_90~99세,2021년_남_100세 이상,2021년_여_총인구수,2021년_여_연령구간인구수,2021년_여_0~9세,2021년_여_10~19세,2021년_여_20~29세,2021년_여_30~39세,2021년_여_40~49세,2021년_여_50~59세,2021년_여_60~69세,2021년_여_70~79세,2021년_여_80~89세,2021년_여_90~99세,2021년_여_100세 이상,2022년_계_총인구수,2022년_계_0~9세,2022년_계_10~19세,2022년_계_20~29세,2022년_계_30~39세,2022년_계_40~49세,2022년_계_50~59세,2022년_계_60~69세,2022년_계_70~79세,2022년_계_80~89세,2022년_계_90~99세,2022년_계_100세 이상,2022년_남_총인구수,2022년_남_연령구간인구수,2022년_남_0~9세,2022년_남_10~19세,2022년_남_20~29세,2022년_남_30~39세,2022년_남_40~49세,2022년_남_50~59세,2022년_남_60~69세,2022년_남_70~79세,2022년_남_80~89세,2022년_남_90~99세,2022년_남_100세 이상,2022년_여_총인구수,2022년_여_연령구간인구수,2022년_여_0~9세,2022년_여_10~19세,2022년_여_20~29세,2022년_여_30~39세,2022년_여_40~49세,2022년_여_50~59세,2022년_여_60~69세,2022년_여_70~79세,2022년_여_80~89세,2022년_여_90~99세,2022년_여_100세 이상,2023년_계_총인구수,2023년_계_0~9세,2023년_계_10~19세,2023년_계_20~29세,2023년_계_30~39세,2023년_계_40~49세,2023년_계_50~59세,2023년_계_60~69세,2023년_계_70~79세,2023년_계_80~89세,2023년_계_90~99세,2023년_계_100세 이상,2023년_남_총인구수,2023년_남_연령구간인구수,2023년_남_0~9세,2023년_남_10~19세,2023년_남_20~29세,2023년_남_30~39세,2023년_남_40~49세,2023년_남_50~59세,2023년_남_60~69세,2023년_남_70~79세,2023년_남_80~89세,2023년_남_90~99세,2023년_남_100세 이상,2023년_여_총인구수,2023년_여_연령구간인구수,2023년_여_0~9세,2023년_여_10~19세,2023년_여_20~29세,2023년_여_30~39세,2023년_여_40~49세,2023년_여_50~59세,2023년_여_60~69세,2023년_여_70~79세,2023년_여_80~89세,2023년_여_90~99세,2023년_여_100세 이상,2024년_계_총인구수,2024년_계_0~9세,2024년_계_10~19세,2024년_계_20~29세,2024년_계_30~39세,2024년_계_40~49세,2024년_계_50~59세,2024년_계_60~69세,2024년_계_70~79세,2024년_계_80~89세,2024년_계_90~99세,2024년_계_100세 이상,2024년_남_총인구수,2024년_남_연령구간인구수,2024년_남_0~9세,2024년_남_10~19세,2024년_남_20~29세,2024년_남_30~39세,2024년_남_40~49세,2024년_남_50~59세,2024년_남_60~69세,2024년_남_70~79세,2024년_남_80~89세,2024년_남_90~99세,2024년_남_100세 이상,2024년_여_총인구수,2024년_여_연령구간인구수,2024년_여_0~9세,2024년_여_10~19세,2024년_여_20~29세,2024년_여_30~39세,2024년_여_40~49세,2024년_여_50~59세,2024년_여_60~69세,2024년_여_70~79세,2024년_여_80~89세,2024년_여_90~99세,2024년_여_100세 이상
1,서울특별시 종로구 (1111000000),"151,290","8,211","11,748","23,572","20,376","23,077","25,714","19,128","12,538","5,673","1,000",253,"73,746","73,746","4,143","5,932","11,684","10,086","11,222","12,932","9,486","5,552","2,274",353,82,"77,544","77,544","4,068","5,816","11,888","10,290","11,855","12,782","9,642","6,986","3,399",647,171,"149,384","7,527","11,013","23,416","19,943","22,231","25,459","19,948","12,500","5,978","1,093",276,"72,635","72,635","3,803","5,495","11,505","9,910","10,834","12,784","9,903","5,518","2,415",371,97,"76,749","76,749","3,724","5,518","11,911","10,033","11,397","12,675","10,045","6,982","3,563",722,179,"144,683","6,984","10,381","22,802","19,470","20,969","24,957","20,352","11,637","6,149",950,32,"70,183","70,183","3,540","5,157","10,973","9,707","10,136","12,574","10,139","5,176","2,482",290,9.0,"74,500","74,500","3,444","5,224","11,829","9,763","10,833","12,383","10,213","6,461","3,667",660,23,"141,379","6,403","10,087","22,284","19,342","19,944","24,216","20,301","11,404","6,454",915,29,"68,395","68,395","3,240","5,006","10,593","9,636","9,605","12,089","10,195","5,119","2,616",286,10.0,"72,984","72,984","3,163","5,081","11,691","9,706","10,339","12,127","10,106","6,285","3,838",629,19,"139,417","5,919","9,739","21,496","19,322","19,194","23,915","20,689","11,503","6,644",961,35,"67,306","67,306","2,989","4,776","10,174","9,648","9,291","11,854","10,365","5,211","2,674",315,9.0,"72,111","72,111","2,930","4,963","11,322","9,674","9,903","12,061","10,324","6,292","3,970",646,26,"138,336","5,511","9,378","20,963","19,754","18,487","23,376","21,016","11,867","6,837","1,106",41,"66,570","66,570","2,807","4,604","9,830","9,834","8,940","11,525","10,523","5,418","2,719",357,13.0,"71,766","71,766","2,704","4,774","11,133","9,920","9,547","11,851","10,493","6,449","4,118",749,28
2,서울특별시 중구 (1114000000),"126,171","7,389","7,308","18,473","20,662","18,491","20,956","16,948","10,380","4,542",835,187,"61,910","61,910","3,758","3,722","8,937","10,344","9,408","10,663","8,453","4,636","1,676",252,61,"64,261","64,261","3,631","3,586","9,536","10,318","9,083","10,293","8,495","5,744","2,866",583,126,"125,240","6,836","6,773","18,586","20,107","18,011","20,702","17,551","10,733","4,836",900,205,"61,222","61,222","3,505","3,408","8,851","10,027","9,222","10,508","8,714","4,839","1,800",283,65,"64,018","64,018","3,331","3,365","9,735","10,080","8,789","10,194","8,837","5,894","3,036",617,140,"122,499","6,299","6,474","18,309","19,886","17,379","20,043","18,083","10,221","4,967",812,26,"59,630","59,630","3,265","3,206","8,477","9,909","8,898","10,166","9,023","4,633","1,821",221,11.0,"62,869","62,869","3,034","3,268","9,832","9,977","8,481","9,877","9,060","5,588","3,146",591,15,"120,437","5,964","6,322","17,619","19,861","16,768","19,396","18,031","10,261","5,364",823,28,"58,563","58,563","3,058","3,143","8,179","9,941","8,541","9,799","9,013","4,645","2,016",220,8.0,"61,874","61,874","2,906","3,179","9,440","9,920","8,227","9,597","9,018","5,616","3,348",603,20,"121,312","5,630","6,156","17,537","20,864","16,769","19,068","18,333","10,491","5,561",876,27,"58,659","58,659","2,879","3,090","7,979","10,432","8,544","9,529","9,137","4,735","2,101",228,5.0,"62,653","62,653","2,751","3,066","9,558","10,432","8,225","9,539","9,196","5,756","3,460",648,22,"120,544","5,316","5,883","16,777","21,596","16,416","18,580","18,409","10,845","5,774",926,22,"58,015","58,015","2,720","2,936","7,481","10,753","8,324","9,293","9,137","4,936","2,192",236,7.0,"62,529","62,529","2,596","2,947","9,296","10,843","8,092","9,287","9,272","5,909","3,582",690,15
3,서울특별시 용산구 (1117000000),"228,670","14,132","16,391","32,837","38,033","36,159","36,459","27,485","17,122","8,176","1,523",353,"110,356","110,356","7,310","8,363","15,830","18,977","17,798","18,020","13,042","7,388","3,055",475,98,"118,314","118,314","6,822","8,028","17,007","19,056","18,361","18,439","14,443","9,734","5,121","1,048",255,"230,040","13,496","15,609","33,485","38,069","35,698","37,070","28,840","17,203","8,572","1,627",371,"110,722","110,722","6,970","7,932","15,925","19,032","17,529","18,344","13,760","7,401","3,219",503,107,"119,318","119,318","6,526","7,677","17,560","19,037","18,169","18,726","15,080","9,802","5,353","1,124",264,"222,953","12,653","14,692","32,778","37,719","33,781","36,122","29,169","15,960","8,591","1,417",71,"107,210","107,210","6,523","7,444","15,432","18,641","16,651","17,821","14,068","6,977","3,206",427,20.0,"115,743","115,743","6,130","7,248","17,346","19,078","17,130","18,301","15,101","8,983","5,385",990,51,"218,650","11,973","14,241","31,803","38,047","32,512","35,260","29,154","15,484","8,810","1,326",40,"105,087","105,087","6,108","7,254","14,774","18,853","16,051","17,291","14,219","6,795","3,344",392,6.0,"113,563","113,563","5,865","6,987","17,029","19,194","16,461","17,969","14,935","8,689","5,466",934,34,"213,151","11,089","13,620","30,103","37,410","31,288","34,317","29,326","15,622","8,905","1,415",56,"102,312","102,312","5,660","6,929","13,849","18,615","15,470","16,765","14,294","6,880","3,409",429,12.0,"110,839","110,839","5,429","6,691","16,254","18,795","15,818","17,552","15,032","8,742","5,496",986,44,"203,854","10,250","12,916","27,775","36,786","29,357","32,657","28,488","15,450","8,656","1,467",52,"97,469","97,469","5,201","6,591","12,617","18,057","14,506","15,895","13,913","6,929","3,283",460,17.0,"106,385","106,385","5,049","6,325","15,158","18,729","14,851","16,762","14,575","8,521","5,373","1,007",35
4,서울특별시 성동구 (1120000000),"300,889","21,983","21,435","45,985","50,964","47,169","48,446","35,133","20,424","8,014","1,102",234,"147,273","147,273","11,226","10,733","22,759","25,122","23,710","24,243","17,031","9,093","2,989",303,64,"153,616","153,616","10,757","10,702","23,226","25,842","23,459","24,203","18,102","11,331","5,025",799,170,"293,556","20,449","19,815","45,043","48,905","45,020","47,248","36,534","20,586","8,520","1,185",251,"143,387","143,387","10,469","9,891","22,271","24,032","22,575","23,582","17,809","9,170","3,185",331,72,"150,169","150,169","9,980","9,924","22,772","24,873","22,445","23,666","18,725","11,416","5,335",854,179,"285,990","19,222","18,903","43,463","46,815","43,346","46,154","37,768","20,111","9,002","1,158",48,"139,380","139,380","9,797","9,436","21,395","23,032","21,733","22,846","18,458","8,951","3,419",299,14.0,"146,610","146,610","9,425","9,467","22,068","23,783","21,613","23,308","19,310","11,160","5,583",859,34,"281,000","18,235","18,507","42,138","45,670","42,239","44,911","38,254","20,073","9,764","1,164",45,"136,633","136,633","9,375","9,207","20,665","22,318","21,199","22,138","18,677","8,955","3,773",313,13.0,"144,367","144,367","8,860","9,300","21,473","23,352","21,040","22,773","19,577","11,118","5,991",851,32,"277,361","16,893","17,851","40,979","45,664","40,926","44,449","38,578","20,407","10,317","1,253",44,"134,519","134,519","8,690","8,924","19,821","22,357","20,525","21,870","18,883","9,126","3,976",333,14.0,"142,842","142,842","8,203","8,927","21,158","23,307","20,401","22,579","19,695","11,281","6,341",920,30,"273,669","15,974","17,331","38,953","46,424","39,754","43,452","38,618","21,093","10,635","1,401",34,"132,409","132,409","8,252","8,608","18,742","22,734","19,898","21,294","18,907","9,470","4,116",376,12.0,"141,260","141,260","7,722","8,723","20,211","23,690","19,856","22,158","19,711","11,623","6,519","1,025",22
5,서울특별시 광진구 (1121500000),"351,350","21,657","27,573","61,751","58,175","54,490","55,638","40,451","21,943","8,262","1,205",205,"170,262","170,262","11,115","14,060","29,386","28,756","26,886","27,147","19,274","10,097","3,166",332,43,"181,088","181,088","10,542","13,513","32,365","29,419","27,604","28,491","21,177","11,846","5,096",873,162,"346,682","19,572","25,931","62,940","55,983","52,482","54,541","42,460","22,428","8,850","1,277",218,"167,310","167,310","9,977","13,219","29,521","27,696","25,883","26,600","20,219","10,314","3,466",361,54,"179,372","179,372","9,595","12,712","33,419","28,287","26,599","27,941","22,241","12,114","5,384",916,164,"339,996","17,744","24,774","61,616","54,715","50,470","53,801","44,152","21,933","9,495","1,246",50,"164,058","164,058","9,116","12,568","28,844","27,157","24,860","26,363","20,992","10,029","3,780",337,12.0,"175,938","175,938","8,628","12,206","32,772","27,558","25,610","27,438","23,160","11,904","5,715",909,38,"337,416","16,447","24,469","60,220","54,701","49,238","53,264","44,691","22,718","10,325","1,301",42,"162,541","162,541","8,466","12,353","28,071","27,257","24,163","25,953","21,367","10,353","4,191",354,13.0,"174,875","174,875","7,981","12,116","32,149","27,444","25,075","27,311","23,324","12,365","6,134",947,29,"335,554","15,208","23,804","58,849","54,943","48,103","53,156","45,536","23,571","10,928","1,413",43,"161,277","161,277","7,788","12,002","27,297","27,423","23,573","25,844","21,765","10,740","4,442",390,13.0,"174,277","174,277","7,420","11,802","31,552","27,520","24,530","27,312","23,771","12,831","6,486","1,023",30,"331,963","14,098","22,986","56,887","55,354","46,529","52,263","46,029","24,724","11,469","1,577",47,"159,237","159,237","7,203","11,611","26,265","27,586","22,777","25,336","22,007","11,269","4,717",453,13.0,"172,726","172,726","6,895","11,375","30,622","27,768","23,752","26,927","24,022","13,455","6,752","1,124",34
6,서울특별시 동대문구 (1123000000),"346,194","22,115","25,227","55,028","51,458","52,463","54,608","44,789","27,942","10,763","1,525",276,"172,113","172,113","11,361","12,792","27,777","26,673","27,052","27,424","21,627","12,597","4,275",455,80,"174,081","174,081","10,754","12,435","27,251","24,785","25,411","27,184","23,162","15,345","6,488","1,070",196,"342,837","20,788","23,647","56,331","50,175","50,630","53,262","46,393","28,195","11,521","1,582",313,"169,769","169,769","10,662","11,966","27,978","25,917","26,124","26,854","22,400","12,737","4,574",463,94,"173,068","173,068","10,126","11,681","28,353","24,258","24,506","26,408","23,993","15,458","6,947","1,119",219,"337,400","19,590","22,767","56,271","49,023","49,002","52,243","47,532","27,290","12,143","1,470",69,"166,646","166,646","10,032","11,567","27,506","25,196","25,265","26,491","23,043","12,323","4,816",388,19.0,"170,754","170,754","9,558","11,200","28,765","23,827","23,737","25,752","24,489","14,967","7,327","1,082",50,"336,644","18,642","22,734","56,229","48,567","48,408","51,597","47,814","27,767","13,313","1,518",55,"165,755","165,755","9,506","11,579","27,121","25,000","24,942","26,106","23,268","12,480","5,323",420,10.0,"170,889","170,889","9,136","11,155","29,108","23,567","23,466","25,491","24,546","15,287","7,990","1,098",45,"341,149","18,302","22,607","56,872","49,462","48,695","52,540","48,556","28,348","14,080","1,630",57,"167,346","167,346","9,298","11,488","27,005","25,472","25,068","26,513","23,638","12,757","5,654",442,11.0,"173,803","173,803","9,004","11,119","29,867","23,990","23,627","26,027","24,918","15,591","8,426","1,188",46,"338,735","17,174","22,270","55,543","50,145","47,253","51,914","48,622","29,361","14,531","1,872",50,"165,620","165,620","8,707","11,313","26,082","25,665","24,286","26,182","23,758","13,273","5,806",536,12.0,"173,115","173,115","8,467","10,957","29,461","24,480","22,967","25,732","24,864","16,088","8,725","1,336",38
7,서울특별시 중랑구 (1126000000),"397,015","24,712","28,532","56,251","59,522","59,315","70,861","54,979","30,337","10,805","1,515",186,"196,959","196,959","12,733","14,594","28,185","30,761","30,550","35,033","26,722","13,833","4,155",352,41,"200,056","200,056","11,979","13,938","28,066","28,761","28,765","35,828","28,257","16,504","6,650","1,163",145,"394,702","23,064","26,759","56,112","58,124","57,883","69,528","58,222","31,445","11,758","1,601",206,"195,165","195,165","11,921","13,643","27,793","29,956","29,951","34,267","28,254","14,384","4,582",365,49,"199,537","199,537","11,143","13,116","28,319","28,168","27,932","35,261","29,968","17,061","7,176","1,236",157,"387,350","21,285","25,432","54,128","57,025","55,710","67,518","60,705","31,176","12,702","1,602",67,"191,112","191,112","10,961","12,917","26,637","29,325","28,844","33,407","29,431","14,208","5,012",352,18.0,"196,238","196,238","10,324","12,515","27,491","27,700","26,866","34,111","31,274","16,968","7,690","1,250",49,"385,318","20,342","24,843","52,278","57,722","54,716","65,756","61,941","32,015","13,975","1,679",51,"189,537","189,537","10,398","12,683","25,347","29,588","28,432","32,521","29,974","14,619","5,565",400,10.0,"195,781","195,781","9,944","12,160","26,931","28,134","26,284","33,235","31,967","17,396","8,410","1,279",41,"382,155","19,114","23,960","50,042","57,817","53,139","64,730","63,318","33,269","14,880","1,833",53,"187,372","187,372","9,738","12,269","23,994","29,472","27,692","31,934","30,643","15,193","5,996",433,8.0,"194,783","194,783","9,376","11,691","26,048","28,345","25,447","32,796","32,675","18,076","8,884","1,400",45,"379,274","17,793","23,268","47,546","58,262","51,810","63,359","64,182","35,234","15,744","2,016",60,"185,473","185,473","9,059","11,935","22,482","29,726","26,935","31,295","31,007","16,148","6,360",514,12.0,"193,801","193,801","8,734","11,333","25,064","28,536","24,875","32,064","33,175","19,086","9,384","1,502",48
8,서울특별시 성북구 (1129000000),"442,650","30,994","39,102","66,270","62,041","72,541","69,841","53,047","33,198","13,357","1,896",363,"214,437","214,437","15,859","19,980","32,366","30,843","35,847","34,323","25,035","14,451","5,147",491,95,"228,213","228,213","15,135","19,122","33,904","31,198","36,694","35,518","28,012","18,747","8,210","1,405",268,"437,153","28,822","37,145","66,972","59,843","69,839","69,381","54,897","33,568","14,229","2,073",384,"210,810","210,810","14,723","18,918","32,219","29,773","34,424","34,207","25,747","14,662","5,510",531,96,"226,343","226,343","14,099","18,227","34,753","30,070","35,415","35,174","29,150","18,906","8,719","1,542",288,"430,528","27,326","35,986","65,580","58,415","67,446","69,280","56,803","32,464","15,136","2,027",65,"207,578","207,578","13,968","18,296","31,395","29,213","33,248","34,156","26,706","14,133","5,948",504,11.0,"222,950","222,950","13,358","17,690","34,185","29,202","34,198","35,124","30,097","18,331","9,188","1,523",54,"430,397","25,880","36,162","65,412","57,646","65,992","70,266","57,405","32,908","16,594","2,081",51,"206,961","206,961","13,223","18,389","31,145","28,823","32,299","34,713","26,953","14,321","6,549",536,10.0,"223,436","223,436","12,657","17,773","34,267","28,823","33,693","35,553","30,452","18,587","10,045","1,545",41,"425,602","24,097","35,002","64,693","56,113","63,436","70,949","58,000","33,630","17,411","2,212",59,"204,171","204,171","12,368","17,791","30,425","28,099","31,187","34,948","27,235","14,629","6,874",600,15.0,"221,431","221,431","11,729","17,211","34,268","28,014","32,249","36,001","30,765","19,001","10,537","1,612",44,"421,560","22,495","33,973","63,499","55,832","60,897","70,765","58,651","34,744","18,184","2,455",65,"202,003","202,003","11,536","17,300","29,685","27,972","29,999","34,885","27,547","15,208","7,166",688,17.0,"219,557","219,557","10,959","16,673","33,814","27,860","30,898","35,880","31,104","19,536","11,018","1,767",48
9,서울특별시 강북구 (1130500000),"313,954","17,420","23,660","43,350","41,035","48,929","53,606","44,177","29,587","10,557","1,399",234,"153,235","153,235","8,960","12,188","21,376","21,525","25,002","26,064","20,609","12,921","4,142",390,58,"160,719","160,719","8,460","11,472","21,974","19,510","23,927","27,542","23,568","16,666","6,415","1,009",176,"308,055","15,714","22,027","42,944","38,757","46,718","52,642","45,892","30,087","11,516","1,509",249,"150,143","150,143","8,162","11,319","21,044","20,357","23,936","25,793","21,431","13,005","4,611",423,62,"157,912","157,912","7,552","10,708","21,900","18,400","22,782","26,849","24,461","17,082","6,905","1,086",187,"299,182","14,148","20,796","41,001","37,120","43,923","51,700","47,172","29,304","12,507","1,466",45,"145,705","145,705","7,312","10,667","20,085","19,393","22,624","25,494","22,078","12,620","5,026",395,11.0,"153,477","153,477","6,836","10,129","20,916","17,727","21,299","26,206","25,094","16,684","7,481","1,071",34,"293,660","12,786","20,030","39,849","35,921","42,113","50,791","47,379","29,359","13,913","1,477",42,"142,567","142,567","6,554","10,179","19,359","18,820","21,686","25,098","22,249","12,600","5,607",403,12.0,"151,093","151,093","6,232","9,851","20,490","17,101","20,427","25,693","25,130","16,759","8,306","1,074",30,"288,113","11,575","19,141","38,155","34,997","39,902","50,265","47,856","29,760","14,811","1,604",47,"139,514","139,514","5,949","9,756","18,226","18,431","20,593","24,859","22,582","12,750","5,913",442,13.0,"148,599","148,599","5,626","9,385","19,929","16,566","19,309","25,406","25,274","17,010","8,898","1,162",34,"283,597","10,554","18,405","36,202","34,602","37,947","49,733","48,077","30,719","15,559","1,755",44,"136,789","136,789","5,392","9,384","16,983","18,177","19,666","24,559","22,807","13,186","6,122",503,10.0,"146,808","146,808","5,162","9,021","19,219","16,425","18,281","25,174","25,270","17,533","9,437","1,252",34
10,서울특별시 도봉구 (1132000000),"333,362","20,665","27,731","44,922","43,376","51,071","58,555","47,357","27,122","10,845","1,559",159,"163,051","163,051","10,685","14,259","23,012","22,173","25,263","27,865","22,779","12,458","4,088",428,41,"170,311","170,311","9,980","13,472","21,910","21,203","25,808","30,690","24,578","14,664","6,757","1,131",118,"325,257","18,775","25,627","43,412","40,993","48,535","57,020","49,740","27,706","11,603","1,671",175,"158,620","158,620","9,720","13,209","22,110","20,973","24,038","27,161","23,727","12,721","4,454",459,48,"166,637","166,637","9,055","12,418","21,302","20,020","24,497","29,859","26,013","14,985","7,149","1,212",127,"317,366","17,044","24,311","41,496","39,246","46,156","56,006","51,366","27,483","12,478","1,691",89,"154,487","154,487","8,884","12,498","21,033","20,073","22,922","26,819","24,280","12,600","4,891",459,28.0,"162,879","162,879","8,160","11,813","20,463","19,173","23,234","29,187","27,086","14,883","7,587","1,232",61,"311,694","15,589","23,508","39,389","38,302","44,427","54,750","52,115","28,066","13,739","1,767",42,"151,398","151,398","8,098","12,136","19,727","19,667","22,116","26,274","24,542","12,885","5,478",466,9.0,"160,296","160,296","7,491","11,372","19,662","18,635","22,311","28,476","27,573","15,181","8,261","1,301",33,"306,948","14,242","22,372","37,439","37,607","42,514","54,263","52,978","28,964","14,577","1,934",58,"148,796","148,796","7,365","11,583","18,646","19,325","21,327","25,879","24,988","13,311","5,834",523,15.0,"158,152","158,152","6,877","10,789","18,793","18,282","21,187","28,384","27,990","15,653","8,743","1,411",43,"303,228","12,967","21,597","35,652","37,405","40,743","53,292","53,474","30,684","15,278","2,075",61,"146,696","146,696","6,679","11,174","17,611","19,177","20,441","25,600","25,135","14,172","6,133",561,13.0,"156,532","156,532","6,288","10,423","18,041","18,228","20,302","27,692","28,339","16,512","9,145","1,514",48
