,기준년월,시군구명,평균소득
0,2024-01-01,강원특별자치도 강릉시,35014
1,2024-01-01,강원특별자치도 고성군,31875
2,2024-01-01,강원특별자치도 동해시,35199
3,2024-01-01,강원특별자치도 삼척시,33784
4,2024-01-01,강원특별자치도 속초시,34639
5,2024-01-01,강원특별자치도 양구군,34740
6,2024-01-01,강원특별자치도 양양군,33420
7,2024-01-01,강원특별자치도 영월군,33315
8,2024-01-01,강원특별자치도 원주시,36288
9,2024-01-01,강원특별자치도 인제군,34522
10,2024-01-01,강원특별자치도 정선군,33523
11,2024-01-01,강원특별자치도 철원군,34519
12,2024-01-01,강원특별자치도 춘천시,35661
13,2024-01-01,강원특별자치도 태백시,34370
14,2024-01-01,강원특별자치도 평창군,33747
15,2024-01-01,강원특별자치도 홍천군,33725
16,2024-01-01,강원특별자치도 화천군,33563
17,2024-01-01,강원특별자치도 횡성군,33194
18,2024-01-01,경기도 가평군,33900
19,2024-01-01,경기도 고양시 덕양구,38613
20,2024-01-01,경기도 고양시 일산동구,41693
21,2024-01-01,경기도 고양시 일산서구,40769
22,2024-01-01,경기도 과천시,50702
23,2024-01-01,경기도 광명시,38862
24,2024-01-01,경기도 광주시,36619
25,2024-01-01,경기도 구리시,37973
26,2024-01-01,경기도 군포시,37915
27,2024-01-01,경기도 김포시,39112
28,2024-01-01,경기도 남양주시,37463
29,2024-01-01,경기도 동두천시,32216
30,2024-01-01,경기도 부천시 소사구,35843
31,2024-01-01,경기도 부천시 오정구,33100
32,2024-01-01,경기도 부천시 원미구,37059
33,2024-01-01,경기도 성남시 분당구,53824
34,2024-01-01,경기도 성남시 수정구,36438
35,2024-01-01,경기도 성남시 중원구,35433
36,2024-01-01,경기도 수원시 권선구,37475
37,2024-01-01,경기도 수원시 영통구,46996
38,2024-01-01,경기도 수원시 장안구,37483
39,2024-01-01,경기도 수원시 팔달구,35906
40,2024-01-01,경기도 시흥시,35829
41,2024-01-01,경기도 안산시 단원구,34085
42,2024-01-01,경기도 안산시 상록구,34238
43,2024-01-01,경기도 안성시,34846
